;; -*- coding: utf-8-mcs-er -*-
M-17575 	&I-M-17575;	⿰⺡&GT-04385;
M-18223 	&M-18223;	⿰⺡焦
M-18224 	&M-18224;	
M-18225 	&I-M-18225;	⿰⺡&GT-29057;
M-18226 	&I-M-18226;	⿰⺡象
M-18227 	&M-18227;	
M-18228 	&I-M-18228;	⿰⺡惠
M-18229 	&M-18229;	
M-18230 	&M-18230;	
M-18231 	&M-18231;	
M-18232 	&I-M-18232;	⿰⺡無
M-18233 	&M-18233;	
M-18234 	&I-M-18234;	⿰⺡琶
M-18235 	&I-M-18235;	⿰⺡集
M-18236 	&I-M-18236;	⿰⺡番
M-18237 	&M-18237;	
M-18238 	&I-M-18238;	
M-18239 	&I-M-18239;	⿰⺡肅
M-18240 	&I-M-18240;	
M-18241 	&I-M-18241;	⿰⺡替
M-18242 	&I-M-18242;	
M-18243 	&I-M-18243;	⿰⺡路
M-18244 	&M-18244;	
M-18245 	&I-M-18245;	
M-18246 	&M-18246;	
M-18247 	&I-M-18247;	⿰⺡舄
M-18248 	&I-M-18248;	⿰⺡巽
M-18249 	&I-M-18249;	
M-18250 	&M-18250;	
M-18251 	&I-M-18251;	
M-18252 	&M-18252;	
M-18253 	&M-18253;	
M-18254 	&M-18254;	⿰⺡閔
M-18255 	&M-18255;	
M-18256 	&M-18256;	⿰⺡粟
M-18257 	&M-18257;	
M-18258 	&M-18258;	
M-18259 	&I-M-18259;	⿰⺡&CDP-8CF2;
M-18260 	&M-18260;	
M-18261 	&M-18261;	
M-18262 	&I-M-18262;	⿰⺡⿱血乑
M-18263 	&M-18263;	
M-18264 	&M-18264;	
M-18265 	&M-18265;	
M-18266 	&M-18266;	
M-18267 	&I-M-18267;	⿰⺡智
M-18268 	&M-18268;	
M-18269 	&M-18269;	
M-18270 	&I-M-18270;	⿰⺡單
M-18271 	&M-18271;	
M-18272 	&I-M-18272;	⿰⺡賀
M-18273 	&I-M-18273;	⿰⺡⿳一&CDP-89CC;&CDP-8BDC;
M-18274 	&M-18274;	
M-18275 	&I-M-18275;	⿰⺡貰
M-18276 	&I-M-18276;	⿰⺡費
M-18277 	&I-M-18277;	
M-18277'	潮	⿰⺡朝
M-18278 	&M-18278;	
M-18279 	&I-M-18279;	⿰⺡⿹弓⿱⿴囗&CDP-89D5;土
M-18280 	&I-M-18280;	
M-18281 	&I-M-18281;	⿰⺡貴
M-18282 	&I-M-18282;	⿰⺡壹
M-18283 	&M-18283;	
M-18284 	&M-18284;	
M-18285 	&M-18285;	
M-18286 	&M-18286;	
M-18287 	&I-M-18287;	
M-18288 	&I-M-18288;	⿰⺡散
M-18289 	&M-18289;	
M-18290 	&I-M-18290;	⿰⺡黑
M-18291 	&I-M-18291;	⿰⺡筆
M-18292 	&I-M-18292;	⿰⺡牋
M-18293 	&GT-23355;	
M-18294 	&M-18294;	
M-18295 	&M-18295;	
M-18296 	&M-18296;	
M-18297 	&M-18297;	⿰⺡森
M-18298 	&I-M-18298;	⿰⺡孱
M-18299 	&M-18299;	
M-18300 	&M-18300;	⿰⺡黍
M-18301 	&M-18301;	
M-18302 	&I-M-18302;	⿰⺡&GT-33246;
M-18303 	&M-18303;	
M-18304 	&I-M-18304;	⿰⺡普
M-18305 	&M-18305;	
M-18306 	&M-18306;	
M-18307 	&M-18307;	
M-18308 	&M-18308;	⿰⺡粦
M-18309 	&M-18309;	
M-18310 	&M-18310;	⿰⺡圍
M-18311 	&M-18311;	⿰⺡&CDP-8AE1;
M-18312 	&I-M-18312;	⿰⺡⿱止⿰止止
M-18313 	&I-M-18313;	⿲⺡&CDP-8DB6;攵
M-18314 	&I-M-18314;	⿱須水
M-18315 	&M-18315;	⿰⺡登
M-18316 	&I-M-18316;	⿰⺡畫
M-18317 	&I-M-18317;	⿰⺡堯
M-18318 	&I-M-18318;	⿰⺡勞
M-18319 	&I-M-18319;	
M-18320 	&I-M-18320;	
M-18321 	&M-18321;	
M-18322 	&M-18322;	⿰⺡尊
M-18323 	&M-18323;	
M-18324 	&M-18324;	
M-18325 	&M-18325;	
M-18326 	&I-M-18326;	
M-18327 	&M-18327;	
M-18328 	&I-M-18328;	⿰⺡斯
M-18329 	&I-M-18329;	⿰⺡尌
M-18330 	&M-18330;	
M-18331 	&M-18331;	
M-18332 	&I-M-18332;	⿰⺡彭
M-18333 	&I-M-18333;	⿰⺡嵒
M-18334 	&I-M-18334;	⿰⺡雲
M-18335 	&I-M-18335;	⿰⺡畱
M-18336 	&I-M-18336;	⿰⺡項
M-18337 	&M-18337;	⿰⺡復
M-18338 	&I-M-18338;	⿰⺡皓
M-18339 	𣽣	
M-18340 	&M-18340;	
M-18341 	&M-18341;	
M-18342 	&M-18342;	
M-18343 	&M-18343;	
M-18344 	&M-18344;	
M-18345 	&M-18345;	
M-18346 	&M-18346;	
M-18347 	&I-M-18347;	⿰⺡華
M-18348 	&M-18348;	
M-18349 	&M-18349;	⿰⺡閑
M-18350 	&M-18350;	
M-18351 	&I-M-18351;	⿰⺡⿱囧皿
M-18352 	&M-18352;	
M-18353 	&M-18353;	
M-18354 	&M-18354;	
M-18355 	&M-18355;	
M-18356 	&M-18356;	
M-18357 	&M-18357;	
M-18358 	&I-M-18358;	⿰⺡喟
M-18359 	&I-M-18359;	⿰⺡⿳山⿰&CDP-88D3;&CDP-8C4E;本
M-18360 	&I-M-18360;	⿰⺡⿸尾出
M-18361 	&I-M-18361;	⿱⿰水水⿰水水
M-18362 	&I-M-18362;	⿰⺡⿵門元
M-18363 	&M-18363;	
M-18364 	&I-M-18364;	⿰⺡惢
M-18365 	&M-18365;	
M-18366 	&M-18366;	
M-18367 	&I-M-18367;	⿰⺡喜
M-18368 	&I-M-18368;	⿰⺡⿸&CDP-88C5;目
M-18369 	&M-18369;	
M-18370 	&M-18370;	
M-18371 	&M-18371;	
M-18372 	&I-M-18372;	⿰⺡董
M-18373 	&I-M-18373;	⿰⺡鳧
M-18374 	&I-M-18374;	⿰⺡稔
M-18375 	&I-M-18375;	⿰⺡虞
M-18376 	&M-18376;	
M-18377 	&I-M-18377;	⿰⺡稟
M-18378 	&I-M-18378;	
M-18379 	&I-M-18379;	⿰⺡喿
M-18380 	&M-18380;	
M-18381 	&I-M-18381;	⿰⺡當
M-18382 	&I-M-18382;	⿰⺡幹
M-18383 	&I-M-18383;	⿰⺡睪
M-18384 	𤀎	
M-18385 	&M-18385;	
M-18386 	&M-18386;	
M-18387 	&I-M-18387;	⿰⺡&GT-47165;
M-18388 	&I-M-18388;	⿰⺡預
M-18389 	&M-18389;	
M-18390 	&I-M-18390;	⿰⺡豊
M-18391 	&M-18391;	
M-18392 	&I-M-18392;	⿰⺡筮
M-18393 	𣿊	
M-18394 	&M-18394;	
M-18395 	&I-M-18395;	⿱&CDP-8B65;水
M-18396 	&M-18396;	
M-18397 	&M-18397;	
M-18398 	&I-M-18398;	⿰⺡零
M-18399 	&M-18399;	
M-18400 	&M-18400;	
M-18401 	&I-M-18401;	
M-18402 	&I-M-18402;	⿰⺡資
M-18403 	&M-18403;	
M-18404 	&M-18404;	
M-18405 	&I-M-18405;	⿰⺡會
M-18406 	&I-M-18406;	⿰⺡粲
M-18407 	&M-18407;	
M-18408 	&M-18408;	
M-18409 	&I-M-18409;	⿰⺡僉
M-18410 	&I-M-18410;	
M-18411 	&M-18411;	⿰⺡業
M-18412 	&I-M-18412;	
M-18413 	&M-18413;	
M-18414 	&I-M-18414;	⿰⺡睘
M-18415 	&I-M-18415;	
M-18416 	&I-M-18416;	
M-18417 	&M-18417;	⿰⺡⿱&CDP-8CBF;&GT-17214;
M-18418 	&M-18418;	
M-18419 	&I-M-18419;	⿰⺡感
M-18420 	𣿎	
M-18421 	&I-M-18421;	⿰⺡詹
M-18422 	&M-18422;	⿰⺡&GT-13782;
M-18423 	&M-18423;	
M-18424 	&M-18424;	
M-18425 	𣿐	
M-18426 	&M-18426;	⿰⺡遂
M-18427 	&M-18427;	
M-18428 	&I-M-18428;	⿰⺡&GT-51571;
M-18429 	&M-18429;	
M-18430 	𣿑	
M-18431 	&M-18431;	
M-18432 	&M-18432;	
M-18433 	&M-18433;	⿰⺡&GT-48799;
M-18434 	&I-M-18434;	⿰⺡達
M-18435 	&M-18435;	
M-18436 	&M-18436;	⿰⺡禁
M-18437 	&M-18437;	
M-18438 	&I-M-18438;	⿰⺡&CDP-8CDF;
M-18439 	&I-M-18439;	
M-18440 	&I-M-18440;	⿰⺡蜀
M-18441 	&I-M-18441;	⿰⺡廉
M-18442 	&I-M-18442;	⿰⺡農
M-18443 	&M-18443;	⿰⺡&M-39002;
M-18444 	&M-18444;	
M-18445 	&I-M-18445;	⿰⺡⿳宀帚又
M-18446 	&M-18446;	
M-18447 	&I-M-18447;	
M-18448 	&I-M-18448;	⿰⺡嗇
M-18449 	&M-18449;	
M-18450 	&I-M-18450;	⿰⺡戢
M-18451 	&I-M-18451;	⿰⺡睢
M-18452 	&M-18452;	
M-18453 	𣿘	
M-18454 	&I-M-18454;	⿰⺡歲
M-18455 	&M-18455;	⿰⺡楚
M-18456 	&M-18456;	⿰重沓
M-18457 	&I-M-18457;	⿰⺡⿳⺿匆心
M-18458 	&M-18458;	⿰⺡鼎
M-18459 	𣿙	
M-18460 	&M-18460;	
M-18461 	&M-18461;	
M-18462 	𣿛	
M-18463 	&M-18463;	
M-18464 	𣿝	
M-18465 	&M-18465;	
M-18466 	&M-18466;	
M-18467 	𣿠	
M-18468 	𣿡	
M-18469 	𣿢	
M-18470 	𣿤	
M-18471 	&M-18471;	
M-18472 	&I-M-18472;	⿰⺡瑟
M-18473 	&M-18473;	
M-18474 	&I-M-18474;	⿰⺡⿳大廿&CDP-8745;
M-18475 	&M-18475;	
M-18476 	&I-M-18476;	
M-18477 	&M-18477;	
M-18478 	&M-18478;	
M-18479 	&M-18479;	
M-18480 	&M-18480;	
M-18481 	&M-18481;	
M-18482 	&I-M-18482;	⿰⺡爾
M-18483 	&I-M-18483;	⿰⺡&CDP-8CE3;
M-18484 	&M-18484;	
M-18485 	&I-M-18485;	⿰⺡幕
M-18486 	㵯	
M-18487 	&I-M-18487;	⿰⺡&GT-09189;
M-18488 	&I-M-18488;	⿰⺡熒
M-18489 	&I-M-18489;	⿰⺡榮
M-18490 	&I-M-18490;	⿰⺡滎
M-18491 	&M-18491;	
M-18492 	&I-M-18492;	⿰⺡盡
M-18493 	&M-18493;	
M-18494 	&I-M-18494;	⿰⺡綦
M-18495 	&M-18495;	
M-18496 	&I-M-18496;	⿰⺡鼻
M-18497 	&I-M-18497;	
M-18498 	&I-M-18498;	⿰⺡&GT-66354;
M-18499 	𤀤	
M-18500 	&M-18500;	
M-18501 	&I-M-18501;	
M-18502 	&I-M-18502;	⿰⺡豪
M-18503 	&M-18503;	
M-18504 	&I-M-18504;	⿰⺡需
M-18505 	&M-18505;	⿰⺡翠
M-18506 	&M-18506;	⿰⺡斡
M-18507 	𤀦	
M-18508 	&I-M-18508;	⿰⺡壽
M-18509 	&M-18509;	⿰⺡夤
M-18510 	&M-18510;	⿰⺡&CDP-8D6D;
M-18511 	&I-M-18511;	⿰⺡對
M-18512 	&M-18512;	
M-18513 	&I-M-18513;	⿰⺡⿱免免
M-18514 	&M-18514;	⿰⺡臧
M-18515 	&M-18515;	
M-18516 	&M-18516;	
M-18517 	&M-18517;	
M-18518 	&M-18518;	
M-18519 	&M-18519;	
M-18520 	&M-18520;	
M-18521 	&I-M-18521;	
M-18522 	&M-18522;	
M-18523 	&M-18523;	
M-18524 	&I-M-18524;	⿰⺡睿
M-18525 	&I-M-18525;	⿰⺡&M-31652;
M-18526 	&I-M-18526;	⿰⺡僕
M-18527 	&M-18527;	
M-18528 	&M-18528;	
M-18529 	&M-18529;	
M-18530 	&M-18530;	
M-18531 	&M-18531;	
M-18532 	&I-M-18532;	
M-18533 	&I-M-18533;	
M-18534 	𤀭	
M-18535 	&M-18535;	
M-18536 	𤀯	
M-18537 	&I-M-18537;	⿰⺡賓
M-18538 	&I-M-18538;	
M-18539 	㵸	
M-18540 	&M-18540;	
M-18541 	&M-18541;	⿰⺡&GT-32448;
M-18542 	&M-18542;	
M-18543 	&M-18543;	
M-18544 	&M-18544;	
M-18545 	&M-18545;	
M-18546 	&M-18546;	
M-18547 	&M-18547;	⿰⺡⿵門舌
M-18548 	&M-18548;	
M-18549 	&M-18549;	
M-18550 	&M-18550;	
M-18551 	&I-M-18551;	⿰⺡⿳卝&GT-36329;犮
M-18552 	&M-18552;	
M-18553 	&M-18553;	
M-18554 	𤁉	
M-18555 	&M-18555;	
M-18556 	㵽	
M-18557 	&I-M-18557;	⿰⺡賤
M-18558 	&M-18558;	
M-18559 	&M-18559;	
M-18560 	&M-18560;	
M-18561 	&I-M-18561;	⿰⺡隤
M-18562 	㵿	
M-18563 	&I-M-18563;	⿰⺡樂
M-18564 	&I-M-18564;	⿰⺡賛
M-18565 	&I-M-18565;	⿰⺡慮
M-18566 	&M-18566;	
M-18567 	&M-18567;	
M-18568 	&M-18568;	
M-18569 	&I-M-18569;	⿰⺡&M-03041;
M-18570 	&M-18570;	
M-18571 	&M-18571;	⿰⺡&M-11170;
M-18572 	𤁧	
M-18573 	&I-M-18573;	⿰⺡養
M-18574 	&I-M-18574;	⿰⺡魯
M-18575 	𤁨	
M-18576 	&I-M-18576;	⿰⺡賜
M-18577 	𤁩	
M-18578 	&M-18578;	
M-18579 	&M-18579;	
M-18580 	&M-18580;	
M-18581 	𤁭	
M-18582 	&M-18582;	
M-18583 	&M-18583;	⿰⺡節
M-18584 	&M-18584;	
M-18585 	𤁰	
M-18586 	&M-18586;	
M-18587 	&I-M-18587;	⿰⺡瑩
M-18588 	&M-18588;	
M-18589 	&M-18589;	
M-18590 	&M-18590;	
M-18591 	&I-M-18591;	
M-18592 	&M-18592;	
M-18593 	&M-18593;	
M-18594 	&I-M-18594;	
M-18595 	&M-18595;	
M-18596 	&I-M-18596;	⿰⺡寫
M-18597 	&I-M-18597;	⿰⺡盤
M-18598 	&M-18598;	
M-18599 	𤁶	
M-18600 	&I-M-18600;	⿰⺡審
M-18601 	&M-18601;	⿰⺡麃
M-18602 	&I-M-18602;	⿰⺡廛
M-18603 	&M-18603;	
M-18604 	&M-18604;	
M-18605 	&M-18605;	
M-18606 	&I-M-18606;	⿰⺡蔑
M-18607 	&M-18607;	⿰⺡劉
M-18608 	&I-M-18608;	⿰⺡韯
M-18609 	&I-M-18609;	⿰⺡暴
M-18610 	&M-18610;	⿰⺡𠾂
M-18611 	𤁺	
M-18612 	&M-18612;	
M-18613 	&M-18613;	
M-18614 	&M-18614;	
M-18615 	&M-18615;	⿰⺡穀
M-18616 	&M-18616;	
M-18617 	&M-18617;	⿰⺡徵
M-18618 	&M-18618;	
M-18619 	&M-18619;	
M-18620 	&M-18620;	
M-18621 	&M-18621;	
M-18622 	&M-18622;	
M-18623 	&M-18623;	
M-18624 	&M-18624;	
M-18625 	&M-18625;	
M-18626 	&M-18626;	
M-18627 	&M-18627;	
M-18628 	&M-18628;	⿱水滿
M-18629 	&M-18629;	
M-18630 	&M-18630;	
M-18631 	&M-18631;	
M-18632 	&M-18632;	
M-18633 	&M-18633;	
M-18634 	&M-18634;	
M-18635 	&M-18635;	
M-18636 	&I-M-18636;	
M-18637 	&M-18637;	
M-18638 	&M-18638;	⿰⺡&GT-56813;
M-18639 	&M-18639;	
M-18640 	&M-18640;	
M-18641 	&M-18641;	
M-18642 	&M-18642;	
M-18643 	&M-18643;	
M-18644 	&I-M-18644;	⿰⺡憲
M-18645 	&M-18645;	
M-18646 	&I-M-18646;	⿰⺡盧
M-18647 	&M-18647;	
M-18648 	&M-18648;	
M-18649 	&M-18649;	⿰⺡親
M-18650 	&M-18650;	
M-18651 	&M-18651;	
M-18652 	&I-M-18652;	⿰⺡翰
M-18653 	&M-18653;	
M-18654 	&M-18654;	
M-18655 	&M-18655;	
M-18656 	&I-M-18656;	⿰⺡嬴
M-18657 	&I-M-18657;	⿰⺡融
M-18658 	&I-M-18658;	⿰⺡歷
M-18659 	&I-M-18659;	
M-18660 	&I-M-18660;	
M-18661 	&I-M-18661;	⿰⺡縈
M-18662 	&M-18662;	
M-18663 	&M-18663;	
M-18664 	&M-18664;	
M-18665 	&M-18665;	⿰⺡隨
M-18666 	&M-18666;	⿰⺡遺
M-18667 	&I-M-18667;	⿰⺡韰
M-18668 	&M-18668;	
M-18669 	&M-18669;	
M-18670 	&I-M-18670;	
M-18671 	&I-M-18671;	
M-18672 	&I-M-18672;	
M-18672'	瀬	⿰涑頁
M-18673 	&I-M-18673;	⿰⺡頽
M-18674 	&M-18674;	
M-18675 	&I-M-18675;	⿱敏泉
M-18676 	&M-18676;	⿰⺡縠
M-18677 	&M-18677;	
M-18678 	&M-18678;	
M-18679 	&M-18679;	
M-18680 	&M-18680;	
M-18681 	&M-18681;	
M-18682 	&M-18682;	
M-18683 	&I-M-18683;	⿰⺡㬱
M-18684 	&M-18684;	
M-18685 	&M-18685;	
M-18686 	&I-M-18686;	⿰⺡⿱臾貝
M-18687 	&I-M-18687;	⿰⺡營
M-18688 	&M-18688;	
M-18689 	&M-18689;	
M-18690 	&I-M-18690;	⿰⺡彌
M-18691 	&I-M-18691;	⿰⺡罽
M-18692 	&M-18692;	
M-18693 	&I-M-18693;	⿰⺡斂
M-18694 	&M-18694;	⿰⺡薦
M-18695 	&I-M-18695;	⿰⺡嬰
M-18696 	&I-M-18696;	⿰⺡糞
M-18697 	&M-18697;	
M-18698 	&M-18698;	
M-18699 	&M-18699;	
M-18700 	&I-M-18700;	⿰⺡臨
M-18701 	&M-18701;	
M-18702 	&M-18702;	
M-18703 	&M-18703;	
M-18704 	&I-M-18704;	⿰⺡翼
M-18705 	&M-18705;	
M-18706 	&I-M-18706;	⿰⺡韱
M-18707 	&M-18707;	
M-18708 	&M-18708;	
M-18709 	&I-M-18709;	⿰⺡龠
M-18710 	&M-18710;	
M-18711 	&M-18711;	
M-18712 	&M-18712;	
M-18713 	&M-18713;	
M-18714 	&I-M-18714;	⿰⺡毚
M-18715 	&I-M-18715;	⿰⺡戴
M-18716 	&I-M-18716;	⿰⺡&GT-46582;
M-18717 	&M-18717;	
M-18718 	&I-M-18718;	⿰⺡蹇
M-18719 	&M-18719;	
M-18720 	&M-18720;	
M-18721 	&M-18721;	
M-18722 	&M-18722;	
M-18723 	&I-M-18723;	⿰⺡繁
M-18724 	&I-M-18724;	
M-18725 	&M-18725;	
M-18726 	&M-18726;	
M-18727 	&M-18727;	
M-18728 	&M-18728;	
M-18729 	&M-18729;	
M-18730 	&I-M-18730;	⿰⺡⿱⿵戊臣肉
M-18731 	&I-M-18731;	⿰⺡鮪
M-18732 	&I-M-18732;	⿰⺡簋
M-18733 	&I-M-18733;	⿰⺡⿰⿱&CDP-89B6;金刂
M-18734 	&M-18734;	
M-18735 	&I-M-18735;	
M-18736 	&I-M-18736;	⿰⺡鬩
M-18737 	&I-M-18737;	⿰⺡闖
M-18738 	&M-18738;	
M-18739 	&I-M-18739;	⿰⺡豐
M-18740 	&I-M-18740;	⿰⺡霤
M-18741 	&M-18741;	
M-18742 	&I-M-18742;	⿰⺡壘
M-18743 	&M-18743;	⿰⺡藏
M-18744 	&I-M-18744;	⿰⺡藍
M-18745 	&I-M-18745;	⿰⺡叢
M-18746 	&I-M-18746;	
M-18747 	&M-18747;	
M-18748 	&M-18748;	
M-18749 	&I-M-18749;	
M-18750 	&I-M-18750;	
M-18751 	&M-18751;	
M-18752 	&M-18752;	
M-18753 	&M-18753;	
M-18754 	&M-18754;	
M-18755 	&M-18755;	
M-18756 	&M-18756;	
M-18757 	&I-M-18757;	⿰⺡⿸廌去
M-18758 	&M-18758;	
M-18759 	&M-18759;	⿰⺡雚
M-18760 	&M-18760;	⿰⺡闕
M-18761 	&M-18761;	
M-18762 	&M-18762;	
M-18763 	&M-18763;	
M-18764 	&M-18764;	
M-18765 	&M-18765;	
M-18766 	&M-18766;	
M-18767 	&I-M-18767;	
M-18768 	&M-18768;	
M-18769 	&M-18769;	
M-18770 	&M-18770;	
M-18771 	&M-18771;	
M-18772 	&M-18772;	
M-18773 	&M-18773;	
M-18774 	&I-M-18774;	⿰⺡&GT-64844;
M-18775 	&I-M-18775;	⿰⺡贊
M-18776 	&I-M-18776;	⿱⿲糹言糹水
M-18777 	&I-M-18777;	⿰澧色
M-18778 	&M-18778;	
M-18779 	&I-M-18779;	
M-18780 	&M-18780;	
M-18781 	&M-18781;	⿰⺡靡
M-18782 	&M-18782;	
M-18783 	&M-18783;	⿰⺡蟺
M-18784 	&I-M-18784;	
M-18785 	&M-18785;	
M-18786 	𤄻	
M-18787 	&M-18787;	
M-18788 	𤄽	
M-18789 	𤄴	
M-18790 	&I-M-18790;	⿰⺡黨
M-18791 	&M-18791;	
M-18792 	&I-M-18792;	⿰⺡覺
M-18793 	&M-18793;	⿰⺡闡
M-18794 	&GT-24083;	
M-18795 	&M-18795;	
M-18796 	&M-18796;	
M-18797 	𤅛	
M-18798 	&M-18798;	
M-18799 	㶜	
M-18800 	&M-18800;	
M-18801 	&M-18801;	
M-18802 	&M-18802;	
M-18803 	&M-18803;	
M-18804 	&M-18804;	
M-18805 	&M-18805;	
M-18806 	&M-18806;	
M-18807 	&M-18807;	
M-18808 	&M-18808;	
M-18809 	&M-18809;	
M-18810 	&M-18810;	
M-18811 	&I-M-18811;	
M-18812 	&M-18812;	
M-18813 	&M-18813;	
M-18814 	&I-M-18814;	⿰⺡霸
M-18815 	&I-M-18815;	⿰⺡屬
M-18816 	&I-M-18816;	⿰⺡覽
M-18817 	&M-18817;	
M-18818 	&M-18818;	
M-18819 	&M-18819;	⿰⺡蘭
M-18820 	&M-18820;	
M-18821 	&M-18821;	
M-18822 	&I-M-18822;	⿰⺡囊
M-18823 	&I-M-18823;	
M-18824 	&M-18824;	
M-18825 	&M-18825;	
M-18826 	&M-18826;	
M-18827 	&M-18827;	
M-18828 	&M-18828;	
M-18829 	&M-18829;	
M-18830 	&M-18830;	
M-18831 	&I-M-18831;	⿰澧盍
M-18832 	&M-18832;	
M-18833 	&I-M-18833;	
M-18834 	&I-M-18834;	⿱泉⿰泉泉
M-18835 	&I-M-18835;	⿰⺡顯
M-18836 	&M-18836;	
M-18837 	&M-18837;	
M-18838 	&M-18838;	
M-18839 	&I-M-18839;	⿰⺡艷
M-18840 	&M-18840;	
M-18841 	&M-18841;	
M-18842 	&I-M-18842;	⿰⺡贛
M-18843 	&M-18843;	
M-18844 	&M-18844;	
M-18845 	&M-18845;	
M-18846 	&I-M-18846;	⿰⺡豔
M-18847 	&I-M-18847;	⿰⺡鬱
M-18848 	&I-M-18848;	⿰⺡驫
M-18849 	&M-18849;	
M-18850 	&I-M-18850;	
M-18851 	&I-M-18851;	
M-18852 	&M-18852;	⿱火一
M-18853 	&M-18853;	
M-18854 	&I-M-18854;	⿱火儿
M-18855 	&I-M-18855;	⿰火丁
M-18856 	&M-18856;	⿱厶火
M-18857 	&M-18857;	⿵⺇火
M-18858 	&I-M-18858;	⿸𠂇火
M-18859 	&I-M-18859;	
M-18860 	&M-18860;	
M-18861 	&I-M-18861;	⿰火刀
M-18862 	&M-18862;	⿰火刂
M-18863 	&M-18863;	⿱乃火
M-18864 	&M-18864;	⿱&GT-00458;火
M-18865 	&M-18865;	⿹勹火
M-18866 	&M-18866;	
M-18867 	&M-18867;	⿰火工
M-18868 	&I-M-18868;	
M-18869 	&I-M-18869;	⿰火土
M-18870 	&M-18870;	⿱干火
M-18871 	&M-18871;	⿱火廾
M-18872 	&I-M-18872;	
M-18873 	&I-M-18873;	⿱久灬
M-18874 	&I-M-18874;	⿰火乇
M-18875 	&I-M-18875;	⿰火也
M-18876 	&I-M-18876;	⿱大火
M-18877 	&I-M-18877;	⿱土火
M-18878 	&I-M-18878;	
M-18879 	&I-M-18879;	⿱巛火
M-18880 	&M-18880;	⿰⺘火
M-18881 	&I-M-18881;	
M-18882 	&M-18882;	
M-18883 	&I-M-18883;	⿰火川
M-18884 	&I-M-18884;	⿱⿰丿了灬
M-18885 	&M-18885;	
M-18886 	&I-M-18886;	⿰火夕
M-18887 	&I-M-18887;	⿰火&CDP-8AF0;
M-18888 	&M-18888;	
M-18889 	&M-18889;	
M-18890 	&M-18890;	
M-18891 	&I-M-18891;	⿱旡灬
M-18892 	&I-M-18892;	⿰火公󠄁
M-18893 	&I-M-18893;	⿱分󠄃火
M-18894 	&I-M-18894;	⿰火予
M-18895 	&M-18895;	
M-18896 	&I-M-18896;	⿱日火
M-18897 	&I-M-18897;	⿰日火
M-18898 	&I-M-18898;	
M-18899 	&I-M-18899;	⿰火攵
M-18900 	&I-M-18900;	⿰火攴
M-18901 	&M-18901;	⿰火&GT-21300;
M-18902 	&M-18902;	
M-18903 	&I-M-18903;	⿰火勿
M-18904 	&I-M-18904;	⿰火欠
M-18905 	&M-18905;	⿰火內󠄀
M-18906 	&M-18906;	⿰火不
M-18907 	&I-M-18907;	⿱不灬
M-18908 	&M-18908;	⿰火介
M-18909 	&M-18909;	⿰火反
M-18910 	&I-M-18910;	⿱火火
M-18911 	&M-18911;	⿰火火
M-18912 	&M-18912;	⿰火丰󠄀
M-18913 	&I-M-18913;	⿰火木
M-18914 	&M-18914;	
M-18915 	&I-M-18915;	
M-18916 	&I-M-18916;	⿰火斗
M-18917 	&I-M-18917;	⿰火夬
M-18918 	&I-M-18918;	
M-18919 	&I-M-18919;	⿰火屯
M-18920 	&I-M-18920;	⿱廿火
M-18921 	&I-M-18921;	⿰火斤
M-18922 	&I-M-18922;	⿱&CDP-88F0;火
M-18923 	&M-18923;	
M-18924 	&I-M-18924;	⿱火&CDP-8B67;
M-18925 	&I-M-18925;	⿱火化
M-18926 	&I-M-18926;	⿱水火
M-18927 	&M-18927;	
M-18928 	&I-M-18928;	⿱耂火
M-18929 	&M-18929;	
M-18930 	&I-M-18930;	⿱帀火
M-18931 	&M-18931;	
M-18932 	&I-M-18932;	⿰火旦
M-18933 	&M-18933;	⿰火甲
M-18934 	&I-M-18934;	⿰火正
M-18935 	&M-18935;	⿱𡗜火
M-18936 	&M-18936;	⿰火术
M-18937 	&M-18937;	
M-18938 	&I-M-18938;	⿰火可
M-18939 	&I-M-18939;	⿰火召
M-18940 	&I-M-18940;	⿰火弗
M-18941 	&M-18941;	⿱弗火
M-18942 	&M-18942;	⿰火犮
M-18943 	&M-18943;	⿰火末
M-18944 	&M-18944;	⿰火㐌
M-18945 	&M-18945;	⿰火&GT-08875;
M-18946 	&M-18946;	⿰火令
M-18947 	&M-18947;	⿰火出
M-18948 	&I-M-18948;	
M-18949 	&M-18949;	⿰火巨
M-18950 	&M-18950;	⿱火丱
M-18951 	&M-18951;	⿰火⿸尸二
M-18952 	&M-18952;	⿰火幼
M-18953 	&I-M-18953;	
M-18953'	炭	⿱山&CDP-8D7D;
M-18954 	&I-M-18954;	⿰火包
M-18955 	&I-M-18955;	⿱包灬
M-18956 	&I-M-18956;	⿰火冋
M-18957 	&I-M-18957;	⿱台火
M-18958 	&I-M-18958;	⿰火台
M-18959 	&I-M-18959;	⿱丙火
M-18960 	&I-M-18960;	⿰火丙
M-18961 	&I-M-18961;	⿰火央
M-18962 	&M-18962;	⿰火冬
M-18963 	&M-18963;	⿰火占
M-18964 	&M-18964;	⿰火卯
M-18965 	&I-M-18965;	
M-18966 	&M-18966;	⿰火叏
M-18967 	&M-18967;	⿱囙火
M-18968 	&M-18968;	⿰火甘
M-18969 	&M-18969;	⿱火旦
M-18970 	&M-18970;	⿱禾火
M-18971 	&M-18971;	
M-18972 	&I-M-18972;	⿰火斥
M-18973 	&I-M-18973;	⿱乎灬
M-18974 	&I-M-18974;	⿱&M-17027;灬
